%GT all_counts_2, triggers,slice,time_interval
0.39%,667,1899-12-30,00:00:00
0.36%,610,1899-12-30,00:10:00
0.33%,570,1899-12-30,00:20:00
0.35%,601,1899-12-30,00:30:00
0.35%,592,1899-12-30,00:40:00
0.36%,607,1899-12-30,00:50:00
0.33%,560,1899-12-30,01:00:00
0.33%,558,1899-12-30,01:10:00
0.33%,571,1899-12-30,01:20:00
0.36%,620,1899-12-30,01:30:00
0.32%,549,1899-12-30,01:40:00
0.23%,399,1899-12-30,01:50:00
0.26%,442,1899-12-30,02:00:00
0.25%,431,1899-12-30,02:10:00
0.30%,506,1899-12-30,02:20:00
0.26%,443,1899-12-30,02:30:00
0.32%,552,1899-12-30,02:40:00
0.36%,614,1899-12-30,02:50:00
0.36%,609,1899-12-30,03:00:00
0.32%,539,1899-12-30,03:10:00
0.36%,613,1899-12-30,03:20:00
0.31%,535,1899-12-30,03:30:00
0.29%,488,1899-12-30,03:40:00
0.30%,505,1899-12-30,03:50:00
0.30%,519,1899-12-30,04:00:00
0.32%,549,1899-12-30,04:10:00
0.27%,469,1899-12-30,04:20:00
0.23%,396,1899-12-30,04:30:00
0.25%,422,1899-12-30,04:40:00
0.34%,573,1899-12-30,04:50:00
0.31%,537,1899-12-30,05:00:00
0.31%,534,1899-12-30,05:10:00
0.35%,596,1899-12-30,05:20:00
0.33%,565,1899-12-30,05:30:00
0.33%,557,1899-12-30,05:40:00
0.27%,464,1899-12-30,05:50:00
0.31%,533,1899-12-30,06:00:00
0.36%,623,1899-12-30,06:10:00
0.40%,678,1899-12-30,06:20:00
0.42%,719,1899-12-30,06:30:00
0.42%,723,1899-12-30,06:40:00
0.42%,726,1899-12-30,06:50:00
0.44%,750,1899-12-30,07:00:00
0.39%,667,1899-12-30,07:10:00
0.52%,888,1899-12-30,07:20:00
0.50%,849,1899-12-30,07:30:00
0.54%,923,1899-12-30,07:40:00
0.58%,993,1899-12-30,07:50:00
0.58%,995,1899-12-30,08:00:00
0.65%,1111,1899-12-30,08:10:00
0.62%,1068,1899-12-30,08:20:00
0.62%,1060,1899-12-30,08:30:00
0.66%,1128,1899-12-30,08:40:00
0.69%,1171,1899-12-30,08:50:00
0.60%,1020,1899-12-30,09:00:00
0.73%,1243,1899-12-30,09:10:00
0.69%,1178,1899-12-30,09:20:00
0.80%,1375,1899-12-30,09:30:00
0.93%,1588,1899-12-30,09:40:00
0.96%,1641,1899-12-30,09:50:00
1.00%,1717,1899-12-30,10:00:00
0.99%,1696,1899-12-30,10:10:00
1.12%,1922,1899-12-30,10:20:00
1.21%,2062,1899-12-30,10:30:00
1.25%,2135,1899-12-30,10:40:00
1.29%,2212,1899-12-30,10:50:00
1.32%,2248,1899-12-30,11:00:00
1.36%,2330,1899-12-30,11:10:00
1.36%,2332,1899-12-30,11:20:00
1.44%,2458,1899-12-30,11:30:00
1.55%,2646,1899-12-30,11:40:00
1.62%,2769,1899-12-30,11:50:00
1.64%,2810,1899-12-30,12:00:00
1.61%,2748,1899-12-30,12:10:00
1.66%,2832,1899-12-30,12:20:00
1.69%,2893,1899-12-30,12:30:00
1.62%,2764,1899-12-30,12:40:00
1.55%,2656,1899-12-30,12:50:00
1.53%,2611,1899-12-30,13:00:00
1.52%,2591,1899-12-30,13:10:00
1.55%,2642,1899-12-30,13:20:00
1.52%,2601,1899-12-30,13:30:00
1.61%,2749,1899-12-30,13:40:00
1.49%,2548,1899-12-30,13:50:00
1.46%,2498,1899-12-30,14:00:00
1.47%,2508,1899-12-30,14:10:00
1.61%,2752,1899-12-30,14:20:00
1.59%,2722,1899-12-30,14:30:00
1.43%,2451,1899-12-30,14:40:00
1.31%,2238,1899-12-30,14:50:00
1.35%,2307,1899-12-30,15:00:00
1.28%,2187,1899-12-30,15:10:00
1.35%,2301,1899-12-30,15:20:00
1.30%,2224,1899-12-30,15:30:00
1.32%,2259,1899-12-30,15:40:00
1.15%,1963,1899-12-30,15:50:00
1.11%,1900,1899-12-30,16:00:00
0.95%,1629,1899-12-30,16:10:00
0.84%,1444,1899-12-30,16:20:00
0.86%,1471,1899-12-30,16:30:00
0.79%,1347,1899-12-30,16:40:00
0.74%,1261,1899-12-30,16:50:00
0.74%,1273,1899-12-30,17:00:00
0.66%,1133,1899-12-30,17:10:00
0.66%,1133,1899-12-30,17:20:00
0.58%,997,1899-12-30,17:30:00
0.60%,1020,1899-12-30,17:40:00
0.55%,948,1899-12-30,17:50:00
0.42%,714,1899-12-30,18:00:00
0.44%,744,1899-12-30,18:10:00
0.45%,777,1899-12-30,18:20:00
0.42%,725,1899-12-30,18:30:00
0.40%,684,1899-12-30,18:40:00
0.42%,713,1899-12-30,18:50:00
0.52%,884,1899-12-30,19:00:00
0.53%,914,1899-12-30,19:10:00
0.49%,832,1899-12-30,19:20:00
0.36%,609,1899-12-30,19:30:00
0.43%,740,1899-12-30,19:40:00
0.31%,534,1899-12-30,19:50:00
0.32%,553,1899-12-30,20:00:00
0.40%,677,1899-12-30,20:10:00
0.44%,759,1899-12-30,20:20:00
0.47%,801,1899-12-30,20:30:00
0.45%,773,1899-12-30,20:40:00
0.41%,695,1899-12-30,20:50:00
0.35%,596,1899-12-30,21:00:00
0.34%,589,1899-12-30,21:10:00
0.39%,669,1899-12-30,21:20:00
0.42%,719,1899-12-30,21:30:00
0.37%,624,1899-12-30,21:40:00
0.44%,750,1899-12-30,21:50:00
0.44%,744,1899-12-30,22:00:00
0.58%,993,1899-12-30,22:10:00
0.54%,916,1899-12-30,22:20:00
0.34%,589,1899-12-30,22:30:00
0.38%,643,1899-12-30,22:40:00
0.37%,640,1899-12-30,22:50:00
0.35%,601,1899-12-30,23:00:00
0.36%,614,1899-12-30,23:10:00
0.36%,622,1899-12-30,23:20:00
0.32%,542,1899-12-30,23:30:00
