Age,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All ages,5378932,5387650,5393382,5398657,5402547,5378951,5379161,5380053,5384822,5389180,5393637,5400998,5412254,5424925,5435273,5404322,5410836,5415949,5421349,5426252,5435343,5443120,5450421
Zero years,59594,58675,57157,55831,54741,50861,50519,51384,53451,54110,53637,54194,57151,60981,60164,60598,55828,55175,55513,56110,58277,58735,58445
1 year,60762,59516,58586,57064,55758,53924,50805,50459,51355,53386,54086,53627,54221,57167,60952,57712,61091,56389,55747,56119,56967,59054,59484
2 years,65623,60738,59499,58574,57043,55632,53919,50804,50458,51353,53383,54108,53648,54231,57189,59722,57903,61242,56576,55942,56394,57279,59358
3 years,72487,65612,60693,59466,58556,56386,55635,53905,50803,50472,51370,53398,54121,53659,54270,57077,59805,58025,61365,56678,56156,56604,57499
4 years,73665,72483,65578,60695,59464,57845,56395,55651,53914,50822,50469,51390,53409,54138,53663,54439,57141,59825,58073,61426,56811,56274,56746
5 years,77423,73647,72488,65569,60697,59967,57858,56403,55642,53936,50830,50469,51412,53423,54149,54008,54464,57122,59854,58113,61481,56905,56360
6 years,77329,77413,73636,72488,65552,61038,59961,57863,56400,55644,53939,50842,50472,51403,53432,54527,54015,54485,57082,59818,58108,61494,56950
7 years,77498,77335,77403,73636,72476,65833,61035,59970,57878,56407,55631,53941,50845,50485,51403,54020,54516,53958,54460,57040,59836,58151,61526
8 years,80736,77493,77330,77399,73644,72234,65821,61047,59968,57896,56413,55636,53950,50842,50483,51694,54003,54528,53935,54444,57021,59839,58156
9 years,81383,80726,77480,77316,77406,73797,72213,65840,61057,59970,57901,56415,55636,53960,50835,50915,51673,54024,54502,53922,54440,57009,59830
10 years,84299,81377,80720,77477,77308,77316,73778,72221,65833,61073,59972,57904,56418,55639,53962,51547,50889,51681,53991,54471,53908,54445,57002
11 years,87553,84296,81365,80707,77464,78778,77319,73788,72229,65842,61075,59976,57916,56421,55638,55037,51540,50879,51656,53965,54458,53903,54438
12 years,88112,87546,84278,81361,80718,79019,78780,77324,73798,72246,65841,61066,59974,57920,56430,55943,55028,51567,50857,51634,53955,54452,53892
13 years,88991,88102,87531,84259,81356,81940,79016,78783,77335,73805,72256,65832,61061,59982,57911,56763,55925,55048,51541,50821,51614,53941,54435
14 years,89442,88991,88097,87532,84242,82400,81937,79014,78794,77346,73819,72246,65835,61069,59976,58570,56755,55977,55029,51540,50802,51616,53921
15 years,89908,89460,88995,88110,87528,86016,82390,81947,79012,78796,77343,73828,72255,65836,61045,59618,58546,56848,55938,54989,51526,50796,51608
16 years,91492,89904,89464,88991,88105,88661,86003,82385,81936,79030,78799,77330,73820,72260,65836,60945,59596,58573,56824,55918,54969,51522,50792
17 years,96177,91458,89882,89443,88960,88771,88622,85994,82384,81918,79025,78799,77330,73826,72262,65684,60930,59702,58552,56806,55899,54963,51517
18 years,95853,96138,91409,89852,89406,89251,88726,88596,85982,82386,81919,79105,78861,77353,73852,72237,65680,60988,59685,58544,56816,55888,54960
19 years,95458,95801,96081,91370,89816,90582,89202,88681,88575,85976,82387,82064,79246,78911,77385,73411,72240,65797,60991,59712,58544,56814,55900
20 years,95166,95411,95742,96043,91321,90787,90531,89154,88659,88569,85989,82551,82241,79302,78938,76873,73419,72344,65799,61026,59749,58543,56810
21 years,93600,95095,95349,95673,95984,92154,90750,90461,89127,88661,88616,86133,82726,82320,79334,78299,76875,73547,72349,65825,61072,59764,58575
22 years,92999,93551,95050,95291,95601,96113,92068,90701,90463,89130,88707,88770,86280,82820,82355,78366,78320,77030,73557,72393,65865,61087,59798
23 years,88274,92947,93502,95014,95213,95152,96023,92030,90689,90489,89172,88871,88961,86368,82876,80907,78382,78465,77053,73599,72421,65895,61111
24 years,83445,88257,92880,93423,94965,94433,95042,95951,91999,90680,90548,89349,89040,89049,86424,81759,80929,78459,78487,77122,73647,72493,65943
25 years,78731,83418,88207,92858,93378,94647,94358,94984,95932,91991,90712,90680,89461,89130,89092,84175,81756,80948,78465,78506,77146,73678,72495
26 years,76250,78725,83408,88161,92777,92123,94553,94292,94949,95965,92052,90818,90812,89521,89214,87339,84172,81765,80927,78488,78547,77158,73738
27 years,74300,76219,78694,83346,88114,91704,92052,94495,94284,94941,95967,92196,90986,90861,89589,87476,87324,84055,81737,80962,78501,78559,77169
28 years,71048,74293,76213,78674,83298,86938,91617,91969,94475,94297,94938,96083,92350,91056,90888,87808,87456,87131,84035,81752,80987,78484,78513
29 years,71713,71032,74263,76181,78610,82191,86864,91574,91938,94446,94332,95062,96216,92399,91069,88266,87785,87188,87020,84009,81726,80996,78470
30 years,74788,71692,70996,74241,76123,77077,82131,86819,91589,91933,94467,94439,95144,96282,92412,88282,88252,87522,87082,86971,83990,81680,80942
31 years,77162,74731,71656,70967,74209,74586,77009,82079,86816,91566,91958,94558,94542,95180,96315,89607,88223,87840,87415,86993,86924,83959,81639
32 years,79701,77153,74683,71615,70924,73352,74552,76980,82087,86795,91597,92068,94652,94589,95206,93930,89574,88031,87714,87328,86930,86847,83907
33 years,79098,79650,77083,74634,71548,69899,73305,74524,76974,82089,86794,91698,92181,94677,94580,93099,93876,89088,87894,87653,87247,86865,86776
34 years,76229,79060,79572,77032,74581,70647,69837,73278,74534,76957,82085,86841,91757,92197,94685,92698,93036,93440,88894,87803,87528,87140,86772
35 years,78893,76174,78989,79509,76951,73999,70566,69788,73276,74538,76961,82155,86906,91768,92155,92212,92651,92699,93282,88730,87681,87431,87005
36 years,79536,78797,76080,78922,79455,76239,73941,70503,69743,73253,74562,77060,82217,86899,91777,90165,92136,92268,92524,93138,88623,87546,87317
37 years,78580,79425,78678,75999,78857,78691,76186,73890,70445,69733,73212,74624,77163,82210,86847,90133,90106,91915,92059,92360,92967,88477,87399
38 years,82528,78449,79321,78588,75908,77804,78586,76078,73846,70407,69714,73260,74668,77119,82196,85249,90066,89887,91738,91933,92189,92809,88348
39 years,85154,82383,78268,79166,78447,75292,77686,78462,76007,73803,70367,69795,73291,74651,77086,80361,85142,89835,89712,91612,91827,92057,92664
40 years,86806,84971,82196,78105,79036,77801,75166,77556,78372,75926,73744,70400,69843,73249,74610,75743,80281,85091,89625,89546,91441,91678,91891
41 years,86441,86640,84741,81993,77936,78142,77622,75028,77452,78276,75822,73697,70405,69776,73176,73460,75660,80147,84930,89455,89410,91268,91523
42 years,84774,86214,86405,84516,81821,77278,77931,77424,74916,77358,78186,75761,73696,70345,69703,72297,73379,75596,79980,84768,89284,89227,91087
43 years,84022,84522,85916,86154,84291,80762,77093,77739,77283,74805,77245,78101,75701,73562,70274,68808,72190,73316,75439,79854,84643,89131,89052
44 years,84172,83758,84235,85637,85880,83325,80522,76862,77564,77136,74636,77122,78015,75528,73410,69414,68720,72044,73152,75280,79683,84470,88946
45 years,82669,83887,83422,83937,85343,85331,83013,80223,76644,77346,76976,74509,77032,77868,75339,71993,69276,68577,71882,72973,75116,79502,84290
46 years,78799,82335,83528,83065,83619,84431,85032,82662,79938,76386,77127,76795,74364,76868,77674,74262,71798,69169,68362,71668,72792,74951,79314
47 years,71698,78418,81952,83188,82702,82627,84083,84708,82336,79638,76099,76891,76585,74161,76668,76806,74048,71575,68962,68168,71452,72569,74761
48 years,70789,71359,78006,81530,82793,81353,82211,83680,84353,81977,79309,75812,76634,76297,73892,75727,76545,73770,71346,68752,67968,71236,72349
49 years,67611,70400,70960,77577,81102,81928,80906,81767,83304,83953,81565,78971,75511,76336,76010,72787,75448,76265,73487,71099,68512,67721,70996
50 years,58416,67158,69928,70490,77101,80100,81418,80436,81358,82886,83571,81193,78609,75177,75974,75085,72467,75172,75940,73193,70847,68269,67491
