Age,Year,Value
Zero years,1998,57157
1 year,1998,58586
2 years,1998,59499
3 years,1998,60693
4 years,1998,65578
5 years,1998,72488
6 years,1998,73636
7 years,1998,77403
8 years,1998,77330
9 years,1998,77480
10 years,1998,80720
11 years,1998,81365
12 years,1998,84278
13 years,1998,87531
14 years,1998,88097
15 years,1998,88995
16 years,1998,89464
17 years,1998,89882
18 years,1998,91409
19 years,1998,96081
20 years,1998,95742
21 years,1998,95349
22 years,1998,95050
23 years,1998,93502
24 years,1998,92880
25 years,1998,88207
26 years,1998,83408
27 years,1998,78694
28 years,1998,76213
29 years,1998,74263
30 years,1998,70996
31 years,1998,71656
32 years,1998,74683
33 years,1998,77083
34 years,1998,79572
35 years,1998,78989
36 years,1998,76080
37 years,1998,78678
38 years,1998,79321
39 years,1998,78268
40 years,1998,82196
41 years,1998,84741
42 years,1998,86405
43 years,1998,85916
44 years,1998,84235
45 years,1998,83422
46 years,1998,83528
47 years,1998,81952
48 years,1998,78006
49 years,1998,70960
50 years,1998,69928
51 years,1998,66739
52 years,1998,57582
53 years,1998,52772
54 years,1998,55030
55 years,1998,51323
56 years,1998,50704
57 years,1998,50189
58 years,1998,49651
59 years,1998,46692
60 years,1998,44720
61 years,1998,43059
62 years,1998,42134
63 years,1998,42919
64 years,1998,41943
65 years,1998,41757
66 years,1998,43452
67 years,1998,42312
68 years,1998,41334
69 years,1998,39535
70 years,1998,38045
71 years,1998,36139
72 years,1998,35268
73 years,1998,33059
74 years,1998,32155
75 years,1998,32347
76 years,1998,30033
77 years,1998,27861
78 years,1998,22047
79 years,1998,19777
80 years,1998,8575
81 years,1998,8048
82 years,1998,7857
83 years,1998,9444
84 years,1998,12013
85 years,1998,10111
86 years,1998,8710
87 years,1998,6624
88 years,1998,5595
89 years,1998,4787
90 years,1998,3535
91 years,1998,2511
92 years,1998,1948
93 years,1998,1448
94 years,1998,1139
95 years,1998,839
96 years,1998,634
97 years,1998,473
98 years,1998,311
99 years,1998,200
100 years,1998,407
100 years or over,1998,0
101 years,1998,0
102 years,1998,0
103 years,1998,0
104 years,1998,0
105 years,1998,0
106 years,1998,0
107 years,1998,0
108 years,1998,0
109 years,1998,0
110 years or over,1998,0
Zero years,2008,57151
1 year,2008,54221
2 years,2008,53648
3 years,2008,54121
4 years,2008,53409
5 years,2008,51412
6 years,2008,50472
7 years,2008,50845
8 years,2008,53950
9 years,2008,55636
10 years,2008,56418
11 years,2008,57916
12 years,2008,59974
13 years,2008,61061
14 years,2008,65835
15 years,2008,72255
16 years,2008,73820
17 years,2008,77330
18 years,2008,78861
19 years,2008,79246
20 years,2008,82241
21 years,2008,82726
22 years,2008,86280
23 years,2008,88961
24 years,2008,89040
25 years,2008,89461
26 years,2008,90812
27 years,2008,90986
28 years,2008,92350
29 years,2008,96216
30 years,2008,95144
31 years,2008,94542
32 years,2008,94652
33 years,2008,92181
34 years,2008,91757
35 years,2008,86906
36 years,2008,82217
37 years,2008,77163
38 years,2008,74668
39 years,2008,73291
40 years,2008,69843
41 years,2008,70405
42 years,2008,73696
43 years,2008,75701
44 years,2008,78015
45 years,2008,77032
46 years,2008,74364
47 years,2008,76585
48 years,2008,76634
49 years,2008,75511
50 years,2008,78609
51 years,2008,80728
52 years,2008,82592
53 years,2008,81481
54 years,2008,79299
55 years,2008,77751
56 years,2008,77890
57 years,2008,75859
58 years,2008,71476
59 years,2008,64996
60 years,2008,63410
61 years,2008,60072
62 years,2008,51481
63 years,2008,46970
64 years,2008,48374
65 years,2008,44388
66 years,2008,43700
67 years,2008,42517
68 years,2008,41129
69 years,2008,38030
70 years,2008,35462
71 years,2008,33437
72 years,2008,32471
73 years,2008,31876
74 years,2008,30587
75 years,2008,29557
76 years,2008,29896
77 years,2008,27837
78 years,2008,26034
79 years,2008,23922
80 years,2008,21714
81 years,2008,19672
82 years,2008,17825
83 years,2008,15486
84 years,2008,13908
85 years,2008,12615
86 years,2008,10887
87 years,2008,9117
88 years,2008,6232
89 years,2008,4903
90 years,2008,1898
91 years,2008,1526
92 years,2008,1301
93 years,2008,1333
94 years,2008,1423
95 years,2008,962
96 years,2008,747
97 years,2008,497
98 years,2008,363
99 years,2008,262
100 years,2008,791
100 years or over,2008,0
101 years,2008,0
102 years,2008,0
103 years,2008,0
104 years,2008,0
105 years,2008,0
106 years,2008,0
107 years,2008,0
108 years,2008,0
109 years,2008,0
110 years or over,2008,0
Zero years,2018,58445
1 year,2018,59484
2 years,2018,59358
3 years,2018,57499
4 years,2018,56746
5 years,2018,56360
6 years,2018,56950
7 years,2018,61526
8 years,2018,58156
9 years,2018,59830
10 years,2018,57002
11 years,2018,54438
12 years,2018,53892
13 years,2018,54435
14 years,2018,53921
15 years,2018,51608
16 years,2018,50792
17 years,2018,51517
18 years,2018,54960
19 years,2018,55900
20 years,2018,56810
21 years,2018,58575
22 years,2018,59798
23 years,2018,61111
24 years,2018,65943
25 years,2018,72495
26 years,2018,73738
27 years,2018,77169
28 years,2018,78513
29 years,2018,78470
30 years,2018,80942
31 years,2018,81639
32 years,2018,83907
33 years,2018,86776
34 years,2018,86772
35 years,2018,87005
36 years,2018,87317
37 years,2018,87399
38 years,2018,88348
39 years,2018,92664
40 years,2018,91891
41 years,2018,91523
42 years,2018,91087
43 years,2018,89052
44 years,2018,88946
45 years,2018,84290
46 years,2018,79314
47 years,2018,74761
48 years,2018,72349
49 years,2018,70996
50 years,2018,67491
51 years,2018,67951
52 years,2018,70135
53 years,2018,72055
54 years,2018,74390
55 years,2018,73080
56 years,2018,69841
57 years,2018,71909
58 years,2018,71433
59 years,2018,70012
60 years,2018,72387
61 years,2018,73837
62 years,2018,74675
63 years,2018,73525
64 years,2018,70962
65 years,2018,68962
66 years,2018,68042
67 years,2018,65871
68 years,2018,61547
69 years,2018,55378
70 years,2018,53154
71 years,2018,49798
72 years,2018,41584
73 years,2018,37699
74 years,2018,38026
75 years,2018,34374
76 years,2018,33094
77 years,2018,31485
78 years,2018,29576
79 years,2018,26216
80 years,2018,23615
81 years,2018,21248
82 years,2018,19448
83 years,2018,18072
84 years,2018,15923
85 years,2018,14424
86 years,2018,13259
87 years,2018,11145
88 years,2018,9455
89 years,2018,7681
90 years,2018,5963
91 years,2018,4707
92 years,2018,3643
93 years,2018,2865
94 years,2018,2230
95 years,2018,1603
96 years,2018,1216
97 years,2018,875
98 years,2018,585
99 years,2018,407
100 years,2018,190
100 years or over,2018,0
101 years,2018,182
102 years,2018,140
103 years,2018,142
104 years,2018,128
105 years,2018,106
106 years,2018,105
107 years,2018,84
108 years,2018,24
109 years,2018,10
110 years or over,2018,38
