age_num,Age,Year,Value
0,Zero years,1996,59594
1,1 year,1996,60762
2,2 years,1996,65623
3,3 years,1996,72487
4,4 years,1996,73665
5,5 years,1996,77423
6,6 years,1996,77329
7,7 years,1996,77498
8,8 years,1996,80736
9,9 years,1996,81383
10,10 years,1996,84299
11,11 years,1996,87553
12,12 years,1996,88112
13,13 years,1996,88991
14,14 years,1996,89442
15,15 years,1996,89908
16,16 years,1996,91492
17,17 years,1996,96177
18,18 years,1996,95853
19,19 years,1996,95458
20,20 years,1996,95166
21,21 years,1996,93600
22,22 years,1996,92999
23,23 years,1996,88274
24,24 years,1996,83445
25,25 years,1996,78731
26,26 years,1996,76250
27,27 years,1996,74300
28,28 years,1996,71048
29,29 years,1996,71713
30,30 years,1996,74788
31,31 years,1996,77162
32,32 years,1996,79701
33,33 years,1996,79098
34,34 years,1996,76229
35,35 years,1996,78893
36,36 years,1996,79536
37,37 years,1996,78580
38,38 years,1996,82528
39,39 years,1996,85154
40,40 years,1996,86806
41,41 years,1996,86441
42,42 years,1996,84774
43,43 years,1996,84022
44,44 years,1996,84172
45,45 years,1996,82669
46,46 years,1996,78799
47,47 years,1996,71698
48,48 years,1996,70789
49,49 years,1996,67611
50,50 years,1996,58416
51,51 years,1996,53590
52,52 years,1996,56019
53,53 years,1996,52287
54,54 years,1996,51733
55,55 years,1996,51309
56,56 years,1996,50874
57,57 years,1996,47954
58,58 years,1996,45990
59,59 years,1996,44414
60,60 years,1996,43570
61,61 years,1996,44583
62,62 years,1996,43662
63,63 years,1996,43544
64,64 years,1996,45540
65,65 years,1996,44550
66,66 years,1996,43796
67,67 years,1996,42056
68,68 years,1996,40680
69,69 years,1996,38936
70,70 years,1996,38226
71,71 years,1996,36123
72,72 years,1996,35522
73,73 years,1996,36008
74,74 years,1996,33759
75,75 years,1996,31758
76,76 years,1996,25319
77,77 years,1996,23033
78,78 years,1996,10207
79,79 years,1996,9654
80,80 years,1996,9615
81,81 years,1996,11876
82,82 years,1996,15357
83,83 years,1996,13219
84,84 years,1996,11667
85,85 years,1996,9239
86,86 years,1996,8040
87,87 years,1996,7139
88,88 years,1996,5451
89,89 years,1996,3948
90,90 years,1996,3120
91,91 years,1996,2300
92,92 years,1996,1808
93,93 years,1996,1340
94,94 years,1996,992
95,95 years,1996,688
96,96 years,1996,464
97,97 years,1996,280
98,98 years,1996,192
99,99 years,1996,132
100,100 years,1996,192
101,101 years,1996,0
102,102 years,1996,0
103,103 years,1996,0
104,104 years,1996,0
105,105 years,1996,0
106,106 years,1996,0
107,107 years,1996,0
108,108 years,1996,0
109,109 years,1996,0
0,Zero years,1997,58675
1,1 year,1997,59516
