Place,Age,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Slovak Republic,All ages,5378932,5387650,5393382,5398657,5402547,5378951,5379161,5380053,5384822,5389180,5393637,5400998,5412254,5424925,5435273,5404322,5410836,5415949,5421349,5426252,5435343,5443120,5450421
Slovak Republic,Zero years,59594,58675,57157,55831,54741,50861,50519,51384,53451,54110,53637,54194,57151,60981,60164,60598,55828,55175,55513,56110,58277,58735,58445
Slovak Republic,1 year,60762,59516,58586,57064,55758,53924,50805,50459,51355,53386,54086,53627,54221,57167,60952,57712,61091,56389,55747,56119,56967,59054,59484
Slovak Republic,2 years,65623,60738,59499,58574,57043,55632,53919,50804,50458,51353,53383,54108,53648,54231,57189,59722,57903,61242,56576,55942,56394,57279,59358
Slovak Republic,3 years,72487,65612,60693,59466,58556,56386,55635,53905,50803,50472,51370,53398,54121,53659,54270,57077,59805,58025,61365,56678,56156,56604,57499
Slovak Republic,4 years,73665,72483,65578,60695,59464,57845,56395,55651,53914,50822,50469,51390,53409,54138,53663,54439,57141,59825,58073,61426,56811,56274,56746
Slovak Republic,5 years,77423,73647,72488,65569,60697,59967,57858,56403,55642,53936,50830,50469,51412,53423,54149,54008,54464,57122,59854,58113,61481,56905,56360
Slovak Republic,6 years,77329,77413,73636,72488,65552,61038,59961,57863,56400,55644,53939,50842,50472,51403,53432,54527,54015,54485,57082,59818,58108,61494,56950
Slovak Republic,7 years,77498,77335,77403,73636,72476,65833,61035,59970,57878,56407,55631,53941,50845,50485,51403,54020,54516,53958,54460,57040,59836,58151,61526
Slovak Republic,8 years,80736,77493,77330,77399,73644,72234,65821,61047,59968,57896,56413,55636,53950,50842,50483,51694,54003,54528,53935,54444,57021,59839,58156
Slovak Republic,9 years,81383,80726,77480,77316,77406,73797,72213,65840,61057,59970,57901,56415,55636,53960,50835,50915,51673,54024,54502,53922,54440,57009,59830
